CD_SETOR;NM_MUN;indice_01;escore_F1;escore_F2;escore_composto;escore_composto_bruto
330455705130102;Rio de Janeiro;0.265288;-1.392214;-0.510427;-1.083924;-0.950886
330455705130104;Rio de Janeiro;0.242997;-1.524475;-0.512953;-1.170827;-1.142019
330455705130105;Rio de Janeiro;0.259658;-1.619305;-0.412766;-1.197475;-1.006291
330455705130106;Rio de Janeiro;0.262665;-1.261604;-0.608622;-1.033309;-1.016206
330455705130107;Rio de Janeiro;0.260926;-1.616712;-0.451062;-1.209178;-1.020214
330455705130108;Rio de Janeiro;0.261868;-1.484242;-0.47562;-1.131608;-0.947778
330455705130109;Rio de Janeiro;0.261393;-1.268164;-0.502035;-1.00031;-0.92578
330455705130110;Rio de Janeiro;0.274708;-1.251667;-0.538271;-1.00225;-0.817218
330455705130112;Rio de Janeiro;0.272615;-1.536947;-0.486221;-1.169593;-0.997432
330455705130117;Rio de Janeiro;0.254179;-1.564025;-0.446701;-1.173387;-1.081616
330455705130118;Rio de Janeiro;0.246014;-1.712447;-0.409074;-1.256763;-1.188723
330455705130120;Rio de Janeiro;0.261473;-1.619972;-0.431396;-1.204423;-1.008517
330455705130122;Rio de Janeiro;0.285442;-1.161067;-0.59959;-0.964763;-0.734388
330455705130124;Rio de Janeiro;0.260846;-1.622081;-0.428087;-1.204638;-1.010149
330455705130127;Rio de Janeiro;0.247363;-1.596323;-0.48167;-1.206618;-1.096994
330455705130128;Rio de Janeiro;0.239199;-1.646157;-0.448266;-1.227351;-1.155425
330455705130132;Rio de Janeiro;0.24885;-1.578462;-0.491523;-1.198447;-1.118357
330455705130135;Rio de Janeiro;0.249047;-1.432838;-0.537919;-1.119957;-1.029436
330455705130136;Rio de Janeiro;0.236132;-1.692451;-0.407178;-1.243094;-1.786658
330455705130137;Rio de Janeiro;0.26334;-1.376609;-0.546909;-1.08653;-0.930071
330455705130139;Rio de Janeiro;0.254266;-1.532045;-0.431373;-1.147228;-1.010817
330455705130140;Rio de Janeiro;0.253547;-1.582511;-0.488792;-1.200125;-1.144429
330455705130144;Rio de Janeiro;0.256137;-1.524041;-0.47232;-1.156339;-1.108562
330455705130147;Rio de Janeiro;0.270958;-1.550072;-0.431181;-1.158886;-0.895392
330455705130150;Rio de Janeiro;0.262545;-1.607164;-0.426224;-1.194285;-0.982981
330455705130152;Rio de Janeiro;0.279215;-1.191226;-0.511883;-0.953714;-0.731736
330455705130153;Rio de Janeiro;0.339924;0.24389;-0.93165;-0.167101;-0.069539
330455705130154;Rio de Janeiro;0.396988;1.775712;-1.117332;0.764248;0.472985
330455705130155;Rio de Janeiro;0.393498;1.262562;-0.839697;0.527571;0.370833
330455705130159;Rio de Janeiro;0.260561;-1.475543;-0.509179;-1.137683;-0.91071
